fans,topic,qiushi,comment_1,favour,handpick,martial_status,constellation,profession,home,qiushi_age,user_url
0,1,1,17,161,0,inlove,天蝎座,学生汪,河南 · 洛阳,948天,https://www.qiushibaike.com/users/30160391/
0,2,1,11,2952,0,single,巨蟹座,商务汪,辽宁 · 大连,2天,https://www.qiushibaike.com/users/37349346/
1604,0,1397,18885,2905363,112,married,水瓶座,家里蹲,国外 · 奥地利,961天,https://www.qiushibaike.com/users/30074144/
17,131,158,3164,253740,14,secret,射手座,内务汪,甘肃 · 白银,2583天,https://www.qiushibaike.com/users/190315/
50,6,18,76,3195,0,married,金牛座,家里蹲,广东 · 潮州,965天,https://www.qiushibaike.com/users/30046736/
130,11,70,436,68735,1,married,白羊座,商务汪,山东 · 济南,895天,https://www.qiushibaike.com/users/30462269/
185,0,100,506,49641,1,secret,双鱼座,家里蹲,黑龙江 · 大兴安岭,578天,https://www.qiushibaike.com/users/32526621/
0,6,1252,93,972207,10,不详,白羊座,商务汪,未知,1209天,https://www.qiushibaike.com/users/23516205/
0,14,47,258,18884,1,secret,天秤座,手艺汪,四川 · 泸州,959天,https://www.qiushibaike.com/users/30088412/
0,49,8,130,3162,1,inlove,处女座,IT汪,广东 · 揭阳,706天,https://www.qiushibaike.com/users/31655751/
0,0,16,23,7038,0,married,天蝎座,销售汪,湖南 · 湘潭,1361天,https://www.qiushibaike.com/users/17650623/
0,0,7,41,1883,0,inlove,天蝎座,手艺汪,山东 · 青岛,924天,https://www.qiushibaike.com/users/30301764/
7330,3,741,6210,2060016,107,inlove,摩羯座,搬砖汗,安徽 · 蚌埠,1214天,https://www.qiushibaike.com/users/23331917/
46,54,76,1167,108451,1,secret,白羊座,手艺汪,未知,38天,https://www.qiushibaike.com/users/36912791/
19,1,43,21,30616,0,secret,处女座,学生汪,未知,925天,https://www.qiushibaike.com/users/30294116/
208,0,86,1380,576924,11,secret,双鱼座,搬砖汗,国外 · 亚洲其他国家,832天,https://www.qiushibaike.com/users/30803387/
3752,5,2534,94,2262041,7,single,摩羯座,家里蹲,国外 · 奥地利,854天,https://www.qiushibaike.com/users/30683297/
5,14,1,21,1937,0,secret,天秤座,搬砖汗,江苏 · 无锡,1340天,https://www.qiushibaike.com/users/18459413/
2,0,12,15,1323,0,不详,天秤座,家里蹲,广西 · 南宁,993天,https://www.qiushibaike.com/users/29343978/
0,2,2,19,2087,0,single,摩羯座,家里蹲,江苏 · 宿迁,753天,https://www.qiushibaike.com/users/31347543/
56,2,24,158,55929,1,secret,摩羯座,家里蹲,未知,52天,https://www.qiushibaike.com/users/36720573/
1,26,7,16,2901,0,single,双鱼座,手艺汪,广西 · 北海,1694天,https://www.qiushibaike.com/users/10592623/
188,2,105,678,112578,2,single,天蝎座,搬砖汗,湖南 · 永州,1083天,https://www.qiushibaike.com/users/27515844/
14,19,19,1159,12420,0,secret,处女座,家里蹲,国外 · 天宁,1266天,https://www.qiushibaike.com/users/21566737/
5,1,54,2844,69680,4,secret,天秤座,商务汪,江苏 · 无锡,793天,https://www.qiushibaike.com/users/31031076/
61,0,11,7,29181,2,inlove,狮子座,商务汪,未知,71天,https://www.qiushibaike.com/users/36435200/
8,33,16,26,10121,0,secret,摩羯座,公务猿,江苏 · 南通,1091天,https://www.qiushibaike.com/users/27262718/
2,7,19,91,9222,1,secret,天秤座,销售汪,四川 · 绵阳,1489天,https://www.qiushibaike.com/users/14460790/
2,1,26,111,19427,2,secret,狮子座,商务汪,山东 · 济南,1009天,https://www.qiushibaike.com/users/29108224/
18,0,273,20,102466,0,single,狮子座,家里蹲,四川 · 自贡,474天,https://www.qiushibaike.com/users/33091128/
4,17,36,227,25733,0,single,金牛座,家里蹲,未知,1431天,https://www.qiushibaike.com/users/15907821/
7330,3,741,6210,2060016,107,inlove,摩羯座,搬砖汗,安徽 · 蚌埠,1214天,https://www.qiushibaike.com/users/23331917/
43,0,60,172,25162,0,married,处女座,IT汪,浙江 · 杭州,73天,https://www.qiushibaike.com/users/36401850/
14,0,49,18,36592,2,secret,双鱼座,学生汪,未知,1759天,https://www.qiushibaike.com/users/9391885/
331,2,411,6865,1380638,72,secret,天秤座,家里蹲,国外 · 冰岛,941天,https://www.qiushibaike.com/users/30201529/
0,36,296,1586,733345,28,secret,处女座,搬砖汗,国外 · 多哥,240天,https://www.qiushibaike.com/users/34105982/
4,3,38,27,24336,1,不详,摩羯座,搬砖汗,福建 · 莆田,1213天,https://www.qiushibaike.com/users/23387841/
1,0,3,12,1558,0,single,水瓶座,IT汪,湖北 · 荆州,652天,https://www.qiushibaike.com/users/31965746/
2,0,14,35,1589,0,不详,处女座,销售汪,未知,1084天,https://www.qiushibaike.com/users/27472286/
402,27,94,1602,84403,0,single,水瓶座,学生汪,黑龙江 · 双鸭山,1917天,https://www.qiushibaike.com/users/5444996/
5,34,112,1635,38048,0,不详,巨蟹座,搬砖汗,江苏 · 无锡,1294天,https://www.qiushibaike.com/users/20573003/
0,3,10,76,3137,0,secret,水瓶座,IT汪,未知,19天,https://www.qiushibaike.com/users/37197067/
0,3,11,298,1060,0,不详,金牛座,搬砖汗,广西 · 贺州,1201天,https://www.qiushibaike.com/users/23780571/
240,1,55,3,141166,3,married,狮子座,商务汪,江苏 · 苏州,29天,https://www.qiushibaike.com/users/37076223/
19,1,43,21,30616,0,secret,处女座,学生汪,未知,925天,https://www.qiushibaike.com/users/30294116/
1,0,6,43,639,0,married,狮子座,家里蹲,安徽 · 合肥,1757天,https://www.qiushibaike.com/users/9421991/
26,6,7,101,3431,0,secret,双鱼座,家里蹲,山东 · 潍坊,1394天,https://www.qiushibaike.com/users/16676973/
